,no,question1,question2,grade,lang,q1_tokens,q2_tokens
10,12,question knowledge-based following assume question query large text firstly would segment texts shorter passages like paragraphs would build semantic representations query locations dates times entities numeric formsquantities last order determine semantic relation question passages would map semantic representations query passages using wordnet like lexical databases way find relevant text,need find keywords question example let question adana sentence keywords answer must include located use classify question know find answer include located adana words also need find text relevant check frequency words find relevant text question,25,en,"['question', 'knowledge-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'firstly', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'would', 'build', 'semantic', 'representations', 'query', 'locations', 'dates', 'times', 'entities', 'numeric', 'formsquantities', 'last', 'order', 'determine', 'semantic', 'relation', 'question', 'passages', 'would', 'map', 'semantic', 'representations', 'query', 'passages', 'using', 'wordnet', 'like', 'lexical', 'databases', 'way', 'find', 'relevant', 'text']","['need', 'find', 'keywords', 'question', 'example', 'let', 'question', 'adana', 'sentence', 'keywords', 'answer', 'must', 'include', 'located', 'use', 'classify', 'question', 'know', 'find', 'answer', 'include', 'located', 'adana', 'words', 'also', 'need', 'find', 'text', 'relevant', 'check', 'frequency', 'words', 'find', 'relevant', 'text', 'question']"
11,14,question knowledge-based following assume question query large text firstly would segment texts shorter passages like paragraphs would build semantic representations query locations dates times entities numeric formsquantities last order determine semantic relation question passages would map semantic representations query passages using wordnet like lexical databases way find relevant text,large corpus find question answering systems semantically relevant text history dialog important question answering question answerizing using memorizes look question semantically return answer large corpus look question get return answer chose meaningful answer large corpus,0,en,"['question', 'knowledge-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'firstly', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'would', 'build', 'semantic', 'representations', 'query', 'locations', 'dates', 'times', 'entities', 'numeric', 'formsquantities', 'last', 'order', 'determine', 'semantic', 'relation', 'question', 'passages', 'would', 'map', 'semantic', 'representations', 'query', 'passages', 'using', 'wordnet', 'like', 'lexical', 'databases', 'way', 'find', 'relevant', 'text']","['large', 'corpus', 'find', 'question', 'answering', 'systems', 'semantically', 'relevant', 'text', 'history', 'dialog', 'important', 'question', 'answering', 'question', 'answerizing', 'using', 'memorizes', 'look', 'question', 'semantically', 'return', 'answer', 'large', 'corpus', 'look', 'question', 'get', 'return', 'answer', 'chose', 'meaningful', 'answer', 'large', 'corpus']"
12,15,question knowledge-based following assume question query large text firstly would segment texts shorter passages like paragraphs would build semantic representations query locations dates times entities numeric formsquantities last order determine semantic relation question passages would map semantic representations query passages using wordnet like lexical databases way find relevant text,use wordnet based approaches wordnet graph tree structuredin case use graph node contains synsets end edges relation nodelar arasndaki edgelere de§er vererek en yksek de§ere sahip olan nodelar semantic olarak en ilgilidir diyebiliriz,50,en,"['question', 'knowledge-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'firstly', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'would', 'build', 'semantic', 'representations', 'query', 'locations', 'dates', 'times', 'entities', 'numeric', 'formsquantities', 'last', 'order', 'determine', 'semantic', 'relation', 'question', 'passages', 'would', 'map', 'semantic', 'representations', 'query', 'passages', 'using', 'wordnet', 'like', 'lexical', 'databases', 'way', 'find', 'relevant', 'text']","['use', 'wordnet', 'based', 'approaches', 'wordnet', 'graph', 'tree', 'structuredin', 'case', 'use', 'graph', 'node', 'contains', 'synsets', 'end', 'edges', 'relation', 'nodelar', 'aras\x8dndaki', 'edgelere', 'de§er', 'vererek', 'en', 'y\x81ksek', 'de§ere', 'sahip', 'olan', 'nodelar', 'semantic', 'olarak', 'en', 'ilgilidir', 'diyebiliriz']"
13,16,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,information retrieval based question-answering method rank documents paragraphs even sentences occurrency appropriate one extract answer that will semantically relevant text,50,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['information', 'retrieval', 'based', 'question-answering', 'method', 'rank', 'documents', 'paragraphs', 'even', 'sentences', 'occurrency', 'appropriate', 'one', 'extract', 'answer', 'that', 'will', 'semantically', 'relevant', 'text']"
14,17,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,let question niin first check question stem affixes scan corpus decide questions - use niin corpus - text include niin others analysis also draw vector space graph use n-grams formula calculate probabilitys,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['let', 'question', 'ni\x87in', 'first', 'check', 'question', 'stem', 'affixes', 'scan', 'corpus', 'decide', 'questions', '-', 'use', 'ni\x87in', 'corpus', '-', 'text', 'include', 'ni\x87in', 'others', 'analysis', 'also', 'draw', 'vector', 'space', 'graph', 'use', 'n-grams', 'formula', 'calculate', 'probabilitys']"
15,18,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,co-occurance used vector space would not usefull large corpus,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['co-occurance', 'used', 'vector', 'space', 'would', 'not', 'usefull', 'large', 'corpus']"
16,19,question knowledge-based following assume question query large text firstly would segment texts shorter passages like paragraphs would build semantic representations query locations dates times entities numeric formsquantities last order determine semantic relation question passages would map semantic representations query passages using wordnet like lexical databases way find relevant text,firstly word sense dsambiguation sentence using knowledge-based approaches using wordnet common relations example synony antonym hypernym meronym also operations corpus corpus text applying sentences ability get rid lemmas use special keywords operations determine similarity sentence corpus texts sentences sense level using sense level primary level give uniqe meanings,50,en,"['question', 'knowledge-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'firstly', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'would', 'build', 'semantic', 'representations', 'query', 'locations', 'dates', 'times', 'entities', 'numeric', 'formsquantities', 'last', 'order', 'determine', 'semantic', 'relation', 'question', 'passages', 'would', 'map', 'semantic', 'representations', 'query', 'passages', 'using', 'wordnet', 'like', 'lexical', 'databases', 'way', 'find', 'relevant', 'text']","['firstly', 'word', 'sense', 'd\x8dsambiguation', 'sentence', 'using', 'knowledge-based', 'approaches', 'using', 'wordnet', 'common', 'relations', 'example', 'synony', 'antonym', 'hypernym', 'meronym', 'also', 'operations', 'corpus', 'corpus', 'text', 'applying', 'sentences', 'ability', 'get', 'rid', 'lemmas', 'use', 'special', 'keywords', 'operations', 'determine', 'similarity', 'sentence', 'corpus', 'texts', 'sentences', 'sense', 'level', 'using', 'sense', 'level', 'primary', 'level', 'give', 'uniqe', 'meanings']"
17,20,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,use semantic similarity question words use similarity result question answering techniques firstly thought vector space model useful large data,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['use', 'semantic', 'similarity', 'question', 'words', 'use', 'similarity', 'result', 'question', 'answering', 'techniques', 'firstly', 'thought', 'vector', 'space', 'model', 'useful', 'large', 'data']"
18,21,question knowledge-based following assume question query large text firstly would segment texts shorter passages like paragraphs would build semantic representations query locations dates times entities numeric formsquantities last order determine semantic relation question passages would map semantic representations query passages using wordnet like lexical databases way find relevant text,first must understand questing question answering methods define properties answer based properties like whowhomwhenwherewhat etc search corpus results filtered semantic relatedness use vector space model searching corpus,50,en,"['question', 'knowledge-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'firstly', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'would', 'build', 'semantic', 'representations', 'query', 'locations', 'dates', 'times', 'entities', 'numeric', 'formsquantities', 'last', 'order', 'determine', 'semantic', 'relation', 'question', 'passages', 'would', 'map', 'semantic', 'representations', 'query', 'passages', 'using', 'wordnet', 'like', 'lexical', 'databases', 'way', 'find', 'relevant', 'text']","['first', 'must', 'understand', 'questing', 'question', 'answering', 'methods', 'define', 'properties', 'answer', 'based', 'properties', 'like', 'whowhomwhenwherewhat', 'etc', 'search', 'corpus', 'results', 'filtered', 'semantic', 'relatedness', 'use', 'vector', 'space', 'model', 'searching', 'corpus']"
19,22,question knowledge-based following assume question query large text firstly would segment texts shorter passages like paragraphs would build semantic representations query locations dates times entities numeric formsquantities last order determine semantic relation question passages would map semantic representations query passages using wordnet like lexical databases way find relevant text,semantic similarity look 3 different levels -sense level -word level -text level compare using text level similarity compare large corpus ex wordnet sentence,50,en,"['question', 'knowledge-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'firstly', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'would', 'build', 'semantic', 'representations', 'query', 'locations', 'dates', 'times', 'entities', 'numeric', 'formsquantities', 'last', 'order', 'determine', 'semantic', 'relation', 'question', 'passages', 'would', 'map', 'semantic', 'representations', 'query', 'passages', 'using', 'wordnet', 'like', 'lexical', 'databases', 'way', 'find', 'relevant', 'text']","['semantic', 'similarity', 'look', '3', 'different', 'levels', '-sense', 'level', '-word', 'level', '-text', 'level', 'compare', 'using', 'text', 'level', 'similarity', 'compare', 'large', 'corpus', 'ex', 'wordnet', 'sentence']"
20,23,question knowledge-based following assume question query large text firstly would segment texts shorter passages like paragraphs would build semantic representations query locations dates times entities numeric formsquantities last order determine semantic relation question passages would map semantic representations query passages using wordnet like lexical databases way find relevant text,first check type question understand question ask search answer types also normalize question save words temp data large corpus search words frequently text words used answer question,25,en,"['question', 'knowledge-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'firstly', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'would', 'build', 'semantic', 'representations', 'query', 'locations', 'dates', 'times', 'entities', 'numeric', 'formsquantities', 'last', 'order', 'determine', 'semantic', 'relation', 'question', 'passages', 'would', 'map', 'semantic', 'representations', 'query', 'passages', 'using', 'wordnet', 'like', 'lexical', 'databases', 'way', 'find', 'relevant', 'text']","['first', 'check', 'type', 'question', 'understand', 'question', 'ask', 'search', 'answer', 'types', 'also', 'normalize', 'question', 'save', 'words', 'temp', 'data', 'large', 'corpus', 'search', 'words', 'frequently', 'text', 'words', 'used', 'answer', 'question']"
